match_date,league_code,league_name,home_team,away_team,selection,selection_name,odds,model_prob,implied_prob,edge,expected_roi,home_position,away_position,home_last_points_pg,away_last_points_pg,home_injury_impact,away_injury_impact,home_matches_last7,away_matches_last7,home_cards_pg,away_cards_pg,home_corners_diff_pg,away_corners_diff_pg,home_goals_against_pg,away_goals_against_pg,model_top_factors,score_momentum,score_home_away,score_injuries,score_congestion,score_defense,score_forward_goals,score_h2h,h2h_matches,h2h_home_win_rate,h2h_draw_rate,h2h_away_win_rate,h2h_goal_diff_pg,important_injured_players,likely_scorers,likely_card_players,match_id
2025-08-16,E0,Premier League,Aston Villa,Newcastle United,2,away_win,2.94,0.562,0.3222,0.2398,0.6522,5,4,1.8,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.373,1.218,"home_away_gap:+0.42, h2h_gap:-0.34, momentum_gap:+0.29",0.2866,0.4221,0.0,0.0,-0.1077,-0.19,-0.3435,7,0.3535,0.0,0.6465,-0.8082,,,,2025-08-16|E0|Aston Villa|Newcastle United
2025-08-15,F1,Ligue 1,Stade Rennais,Olympique de Marseille,2,away_win,2.04,0.8046,0.461,0.3436,0.6415,8,3,1.2,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.256,1.198,"momentum_gap:-0.81, forward_goals_gap:-0.55, h2h_gap:-0.47",-0.8054,0.2867,0.0,0.0,-0.0403,-0.5497,-0.4668,7,0.2244,0.083,0.6926,-0.6238,,,,2025-08-15|F1|Stade Rennais|Olympique de Marseille
2025-08-16,F1,Ligue 1,OGC Nice,Toulouse FC,1,home_win,2.08,0.7653,0.45,0.3152,0.5917,7,12,2.4,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.008,1.377,"momentum_gap:+0.54, forward_goals_gap:+0.44, home_away_gap:+0.42",0.5367,0.422,0.0,0.0,0.2474,0.4414,-0.0236,6,0.1541,0.6741,0.1718,-0.0177,,,,2025-08-16|F1|OGC Nice|Toulouse FC
2025-08-16,E0,Premier League,Sunderland,West Ham United,2,away_win,2.26,0.7013,0.4199,0.2814,0.5849,99,12,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.632,"momentum_gap:-0.81, home_away_gap:-0.72, forward_goals_gap:-0.70",-0.8054,-0.7174,0.0,0.0,0.6484,-0.7015,0.0,0,0.0,0.0,0.0,0.0,,,,2025-08-16|E0|Sunderland|West Ham United
2025-08-17,F1,Ligue 1,Stade Brestois,Lille OSC,2,away_win,2.16,0.7065,0.434,0.2725,0.5261,9,5,1.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.408,1.088,"momentum_gap:-0.54, points_gap:-0.30, goal_diff_gap:-0.30",-0.5367,0.2734,0.0,0.0,-0.2167,-0.2804,-0.1665,7,0.3108,0.2503,0.439,-0.0247,,,,2025-08-17|F1|Stade Brestois|Lille OSC
2025-08-16,SP1,La Liga,Valencia,Real Sociedad,2,away_win,3.07,0.4958,0.3062,0.1896,0.522,12,6,1.4,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.271,1.022,"momentum_gap:+0.42, points_gap:-0.30, table_rank:-0.29",0.4179,0.0921,0.0,0.0,-0.1703,0.2463,-0.221,7,0.3323,0.1615,0.5062,-0.5747,,,,2025-08-16|SP1|Valencia|Real Sociedad
2025-08-17,F1,Ligue 1,Angers SCO,Paris FC,1,home_win,2.62,0.5717,0.3577,0.2141,0.4979,18,99,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.78,0.0,"momentum_gap:+0.73, home_away_gap:+0.69, defense_gap:-0.66",0.7304,0.6865,0.0,0.0,-0.6613,0.5573,0.0,0,0.0,0.0,0.0,0.0,,,,2025-08-17|F1|Angers SCO|Paris FC
2025-08-15,SP1,La Liga,Girona,Rayo Vallecano,1,home_win,2.24,0.6248,0.4212,0.2036,0.3995,9,15,1.2,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.412,1.328,"momentum_gap:-0.64, home_away_gap:+0.63, goal_diff_gap:+0.37",-0.6411,0.628,0.0,0.0,-0.0586,0.1615,0.0977,6,0.3194,0.4351,0.2455,0.4123,,,,2025-08-15|SP1|Girona|Rayo Vallecano
2025-08-17,P1,Primeira Liga,CD Santa Clara,Moreirense FC,2,away_win,4.5,0.3106,0.2062,0.1043,0.3976,14,13,2.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.302,1.287,"momentum_gap:+0.73, home_away_gap:+0.41, h2h_gap:-0.32",0.7304,0.4146,0.0,0.0,-0.0105,-0.0474,-0.3166,3,0.1324,0.471,0.3965,-0.1317,,,,2025-08-17|P1|CD Santa Clara|Moreirense FC
2025-08-17,P1,Primeira Liga,FC Alverca,SC Braga,2,away_win,1.64,0.8327,0.5655,0.2672,0.3657,99,4,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.042,"home_away_gap:-0.92, momentum_gap:-0.73, forward_goals_gap:-0.70",-0.7304,-0.919,0.0,0.0,0.545,-0.7048,0.0,0,0.0,0.0,0.0,0.0,,,,2025-08-17|P1|FC Alverca|SC Braga
